Symbol	LogFC	Type
ENSG00000127507	1.653265805	Gene
ENSG00000148671	0.84300037	Gene
ENSG00000204172	1.002203195	Gene
ENSG00000197976	0.541404271	Gene
ENSG00000128394	1.046986242	Gene
ENSG00000160072	0.982880534	Gene
ENSG00000215915	1.858923775	Gene
ENSG00000002586	0.758985878	Gene
ENSG00000064886	2.602056276	Gene
ENSG00000254505	0.785459146	Gene
ENSG00000070371	0.800413377	Gene
ENSG00000160111	1.324502784	Gene
ENSG00000161692	0.764274742	Gene
ENSG00000213462	0.579797737	Gene
ENSG00000187609	1.098381533	Gene
ENSG00000250571	1.255647902	Gene
ENSG00000197978	0.737171382	Gene
ENSG00000073605	0.879261428	Gene
ENSG00000184678	0.489443878	Gene
ENSG00000197568	0.606876651	Gene
ENSG00000234745	1.047353241	Gene
ENSG00000204525	1.164565027	Gene
ENSG00000223865	0.994448381	Gene
ENSG00000173110	1.963441337	Gene
ENSG00000125337	1.288376263	Gene
ENSG00000214402	1.82917744	Gene
ENSG00000168961	1.732349801	Gene
ENSG00000104972	0.799835945	Gene
ENSG00000188897	1.40107611	Gene
ENSG00000187193	1.426734835	Gene
ENSG00000183486	1.203075567	Gene
ENSG00000266302	1.46829075	Gene
ENSG00000256591	1.083326189	Gene
ENSG00000282936	0.732644959	Gene
ENSG00000270629	0.602522091	Gene
ENSG00000273136	0.995523751	Gene
ENSG00000185823	0.917100154	Gene
ENSG00000169203	0.653402298	Gene
ENSG00000169246	0.91915723	Gene
ENSG00000243716	0.953995982	Gene
ENSG00000133321	1.175725266	Gene
ENSG00000121335	0.941943362	Gene
ENSG00000205209	1.631802413	Gene
ENSG00000162572	1.051756094	Gene
ENSG00000196209	0.920229982	Gene
ENSG00000169100	0.644702561	Gene
ENSG00000125520	0.993854505	Gene
ENSG00000256029	0.892622581	Gene
ENSG00000247595	1.081293502	Gene
ENSG00000159433	0.692260889	Gene
ENSG00000254995	1.47757463	Gene
ENSG00000127366	1.047353339	Gene
ENSG00000221995	1.178185416	Gene
ENSG00000171045	0.890808212	Gene
ENSG00000115282	0.654561855	Gene
ENSG00000179698	1.904800156	Gene
ENSG00000047644	0.416664993	Gene
ENSG00000225614	1.224832819	Gene
ENSG00000103199	0.821702771	Gene
ENSG00000197363	0.955319182	Gene
ENSG00000187792	0.481834396	Gene
ENSG00000197951	0.635924552	Gene
ENSG00000196391	0.480271634	Gene
ENSG00000204946	0.848252076	Gene
ENSG00000106479	0.763826547	Gene
ENSG00000141562	0.614480855	Gene
ENSG00000067082	0.616468907	Gene
ENSG00000121068	1.01551227	Gene
ENSG00000064300	3.411618017	Gene
ENSG00000068323	0.707341887	Gene
ENSG00000146535	0.875917954	Gene
ENSG00000183067	0.907032104	Gene
ENSG00000137198	0.878925094	Gene
ENSG00000121060	0.718081345	Gene
ENSG00000070444	0.886529753	Gene
ENSG00000160255	1.736913797	Gene
ENSG00000161940	2.170436321	Gene
ENSG00000160218	0.583433703	Gene
ENSG00000157601	0.534656979	Gene
ENSG00000139567	1.254736097	Gene
ENSG00000175662	0.55267847	Gene
ENSG00000161642	0.92700041	Gene
ENSG00000161638	1.282919229	Gene
ENSG00000125398	0.650717614	Gene
ENSG00000159399	1.17304396	Gene
ENSG00000196535	0.744013989	Gene
ENSG00000063015	0.831137342	Gene
ENSG00000277117	2.287958361	Gene
ENSG00000132383	0.433475173	Gene
ENSG00000196700	0.84036226	Gene
ENSG00000185838	1.173834231	Gene
ENSG00000130787	0.90820292	Gene
ENSG00000197956	0.580642979	Gene
ENSG00000108622	1.332713976	Gene
ENSG00000166484	1.195662302	Gene
ENSG00000075399	1.181875734	Gene
ENSG00000158805	0.714579359	Gene
ENSG00000109736	1.345616938	Gene
ENSG00000142156	1.540819728	Gene
ENSG00000183570	0.639403517	Gene
ENSG00000078061	0.759435422	Gene
ENSG00000102265	1.826073585	Gene
ENSG00000168763	0.677377012	Gene
ENSG00000160294	0.658231762	Gene
ENSG00000160299	0.772066536	Gene
ENSG00000160282	2.406649739	Gene
ENSG00000059728	0.452380052	Gene
ENSG00000160216	0.659446062	Gene
ENSG00000276043	1.446414479	Gene
ENSG00000142002	1.088724289	Gene
ENSG00000105699	1.026283145	Gene
ENSG00000089351	1.174583674	Gene
ENSG00000105707	1.335890061	Gene
ENSG00000166165	0.61720436	Gene
ENSG00000185591	0.452440063	Gene
ENSG00000130176	1.056028486	Gene
ENSG00000198952	0.755246907	Gene
ENSG00000163472	1.124090783	Gene
ENSG00000182871	1.650598089	Gene
ENSG00000173638	1.41269009	Gene
ENSG00000176014	1.205626144	Gene
ENSG00000108821	1.036245859	Gene
ENSG00000005884	0.695921335	Gene
ENSG00000111203	0.555309026	Gene
ENSG00000078246	0.708311096	Gene
ENSG00000173801	1.074343771	Gene
ENSG00000106404	1.956633041	Gene
ENSG00000110719	2.777891268	Gene
ENSG00000108784	1.10275644	Gene
ENSG00000068120	0.770582228	Gene
ENSG00000158457	0.879870642	Gene
ENSG00000126883	0.540168828	Gene
ENSG00000104907	0.642333617	Gene
ENSG00000008441	0.947325577	Gene
ENSG00000105281	2.003996627	Gene
ENSG00000110799	2.066429316	Gene
ENSG00000149564	1.147357185	Gene
ENSG00000130751	1.158700115	Gene
ENSG00000184343	1.923134559	Gene
ENSG00000119681	1.182780696	Gene
ENSG00000149582	0.724748734	Gene
ENSG00000007255	1.216743891	Gene
ENSG00000076382	0.783399079	Gene
ENSG00000109103	0.710448599	Gene
ENSG00000165915	1.176023104	Gene
ENSG00000025434	0.733646805	Gene
ENSG00000066336	1.76996125	Gene
ENSG00000166888	0.700759705	Gene
ENSG00000105771	0.674265764	Gene
ENSG00000155363	1.035279328	Gene
ENSG00000155366	0.89543144	Gene
ENSG00000007866	1.472610652	Gene
ENSG00000112033	0.814908561	Gene
ENSG00000023892	1.007216116	Gene
ENSG00000103227	1.261743086	Gene
ENSG00000103245	0.899885268	Gene
ENSG00000167772	2.042940451	Gene
ENSG00000213928	0.934564289	Gene
ENSG00000157379	0.771024229	Gene
ENSG00000031823	0.479260923	Gene
ENSG00000105204	0.956404534	Gene
ENSG00000171700	0.991431963	Gene
ENSG00000103197	0.757480719	Gene
ENSG00000065054	1.484075603	Gene
ENSG00000006747	1.58151072	Gene
ENSG00000167601	0.548874976	Gene
ENSG00000105329	1.052291208	Gene
ENSG00000142039	0.871035104	Gene
ENSG00000011243	0.43013628	Gene
ENSG00000125650	0.952137942	Gene
ENSG00000205744	1.025497615	Gene
ENSG00000043462	0.783000242	Gene
ENSG00000124587	1.169664924	Gene
ENSG00000105464	1.103618862	Gene
ENSG00000105438	0.730970282	Gene
ENSG00000161558	0.966502193	Gene
ENSG00000177731	0.747863682	Gene
ENSG00000177302	0.432582687	Gene
ENSG00000167676	1.069465712	Gene
ENSG00000144843	1.354112162	Gene
ENSG00000144837	1.667225207	Gene
ENSG00000163870	1.02135076	Gene
ENSG00000123146	0.914662524	Gene
ENSG00000177663	0.42724357	Gene
ENSG00000105643	0.696959819	Gene
ENSG00000076984	1.143369818	Gene
ENSG00000104973	0.534215178	Gene
ENSG00000187244	1.369832503	Gene
ENSG00000104853	0.460192391	Gene
ENSG00000079435	1.752904194	Gene
ENSG00000065970	0.439243481	Gene
ENSG00000126456	1.085159024	Gene
ENSG00000161202	0.59264784	Gene
