Symbol	LogFC	Type
ENSG00000128274	2.045288518	Gene
ENSG00000181409	0.939342873	Gene
ENSG00000165029	0.855018005	Gene
ENSG00000107331	0.918174623	Gene
ENSG00000064687	0.93668065	Gene
ENSG00000197150	0.83126309	Gene
ENSG00000124574	0.77304871	Gene
ENSG00000121270	0.754015566	Gene
ENSG00000023839	1.331210004	Gene
ENSG00000101986	1.303915773	Gene
ENSG00000119688	1.172534783	Gene
ENSG00000160179	1.076727614	Gene
ENSG00000114779	0.528693272	Gene
ENSG00000168792	0.869548753	Gene
ENSG00000158201	0.555942938	Gene
ENSG00000100439	1.384388736	Gene
ENSG00000108798	2.410665073	Gene
ENSG00000097007	0.745727363	Gene
ENSG00000114626	0.839997584	Gene
ENSG00000166016	0.851069636	Gene
ENSG00000060971	0.5687727	Gene
ENSG00000076555	0.973590707	Gene
ENSG00000111271	0.623866741	Gene
ENSG00000122971	1.051297495	Gene
ENSG00000131584	1.05102707	Gene
ENSG00000181513	0.780257037	Gene
ENSG00000159640	0.694357678	Gene
ENSG00000177076	0.618450293	Gene
ENSG00000100813	0.489822169	Gene
ENSG00000144648	1.185460485	Gene
ENSG00000144476	0.608999319	Gene
ENSG00000168306	0.911826758	Gene
ENSG00000087008	0.460457293	Gene
ENSG00000162836	0.625442213	Gene
ENSG00000167107	0.750982526	Gene
ENSG00000176715	0.765651443	Gene
ENSG00000197142	1.255178539	Gene
ENSG00000183549	1.59162469	Gene
ENSG00000111058	0.635855718	Gene
ENSG00000130402	0.518984196	Gene
ENSG00000139567	1.345978527	Gene
ENSG00000196839	1.799888095	Gene
ENSG00000093072	0.907327937	Gene
ENSG00000143537	0.846398094	Gene
ENSG00000151651	1.731265159	Gene
ENSG00000154734	0.966460904	Gene
ENSG00000142303	0.827556261	Gene
ENSG00000160323	0.890647918	Gene
ENSG00000140470	0.533832915	Gene
ENSG00000087116	1.396097594	Gene
ENSG00000136378	1.539577657	Gene
ENSG00000163638	1.372252814	Gene
ENSG00000143382	1.973754229	Gene
ENSG00000105963	1.135031428	Gene
ENSG00000184060	1.062373334	Gene
ENSG00000197381	0.63811594	Gene
ENSG00000185736	0.654561655	Gene
ENSG00000138031	0.611843355	Gene
ENSG00000129467	1.381718752	Gene
ENSG00000173175	0.715960786	Gene
ENSG00000174233	0.554315376	Gene
ENSG00000121281	0.695916644	Gene
ENSG00000078549	0.601400227	Gene
ENSG00000020181	0.739145328	Gene
ENSG00000111452	1.397418705	Gene
ENSG00000127507	2.334024693	Gene
ENSG00000123146	1.030547655	Gene
ENSG00000205336	0.905467713	Gene
ENSG00000006831	0.596218216	Gene
ENSG00000148671	1.216906272	Gene
ENSG00000148926	1.335992094	Gene
ENSG00000128271	2.120516436	Gene
ENSG00000282608	1.696966187	Gene
ENSG00000144843	0.679631835	Gene
ENSG00000169252	1.030435331	Gene
ENSG00000185100	0.738606747	Gene
ENSG00000106624	1.054408402	Gene
ENSG00000172493	0.649289215	Gene
ENSG00000183077	0.553403386	Gene
ENSG00000157985	0.51318866	Gene
ENSG00000133612	0.605973462	Gene
ENSG00000204149	0.701452518	Gene
ENSG00000204172	0.757475579	Gene
ENSG00000204305	1.704214655	Gene
ENSG00000106351	0.854660651	Gene
ENSG00000123908	0.40177945	Gene
ENSG00000169692	0.878796565	Gene
ENSG00000160216	0.850445206	Gene
ENSG00000188157	0.977562112	Gene
ENSG00000135744	0.609363641	Gene
ENSG00000177674	1.437669109	Gene
ENSG00000126705	0.872242987	Gene
ENSG00000124942	1.209048254	Gene
ENSG00000042286	0.772584939	Gene
ENSG00000232434	1.11678253	Gene
ENSG00000111254	1.036918593	Gene
ENSG00000011243	0.467159545	Gene
ENSG00000106948	1.271405468	Gene
ENSG00000204673	0.757999982	Gene
ENSG00000105221	1.079279042	Gene
ENSG00000148218	0.390725848	Gene
ENSG00000161618	1.016174914	Gene
ENSG00000144908	1.285940811	Gene
ENSG00000111275	0.35624572	Gene
ENSG00000006534	1.079705607	Gene
ENSG00000159423	1.33527771	Gene
ENSG00000182858	0.613674291	Gene
ENSG00000239382	0.636955055	Gene
ENSG00000012779	2.181702598	Gene
ENSG00000179148	1.086619484	Gene
ENSG00000073331	0.66967329	Gene
ENSG00000178038	0.899761487	Gene
ENSG00000104899	2.249282321	Gene
ENSG00000174945	0.972122452	Gene
ENSG00000176248	0.72116726	Gene
ENSG00000013523	0.507114466	Gene
ENSG00000167772	1.75879905	Gene
ENSG00000189045	0.785374633	Gene
ENSG00000153930	0.524683804	Gene
ENSG00000185722	0.438655082	Gene
ENSG00000160117	1.44164776	Gene
ENSG00000144504	0.624339099	Gene
ENSG00000198720	0.677150155	Gene
ENSG00000163126	0.780586228	Gene
ENSG00000139645	0.556464974	Gene
ENSG00000235098	0.764812522	Gene
ENSG00000064999	0.486702103	Gene
ENSG00000168096	0.685094819	Gene
ENSG00000165138	0.810982908	Gene
ENSG00000047617	1.170088088	Gene
ENSG00000146205	1.711357065	Gene
ENSG00000074855	0.918790919	Gene
ENSG00000182718	0.696226963	Gene
